word,nature,genre,definition,example
synode,noun,masculin,assemblée religieuse qui se réunit pour discuter des questions importantes de la foi et de la doctrine,Le synode est une institution très ancienne dans l'histoire de l'Église.
égrégore,noun,masculin,Entité spirituelle collective créée et maintenue par un groupe de personnes partageant une même intention,La taille et l'unité du groupe déterminent la puissance de l'égrégore.
morigéner,verb,,"réprimander quelqu'un de manière sévère, dans le but de lui faire prendre conscience d'une faute ou d'un comportement inapproprié",Le directeur a morigéné l'employé pour son comportement irrespectueux envers les clients
caméléopard,noun,masculin,"Animal qui a la tête et le cou comme le chameau, et qui est tacheté comme le léopard. On le nomme aussi Girafe.",Le motif de la peau du cameléopard a été une source d'inspiration pour les artistes depuis l'Antiquité.
inédie,noun,feminin,privation absolue de toute nourriture généralement pour des motivations d'ordre religieux ou mystique.,Le moine pratiquait l'inédie depuis plusieurs semaines dans le cadre de sa retraite spirituelle.
histrion,noun,masculin,"Acteur antique qui jouait des farces grossières, avec accompagnement de flûte.",il réprima impitoyablement le désordres des histrions sur la scène
pétrichor,noun,masculin,"odeur particulière, habituellement agréable, que prend la terre après la pluie.","Lorsque j'étais enfant, j'aimais sortir après la pluie pour sentir le pétrichor et jouer dans la boue."
crural,adj,,qui concerne la cuisse ou la jambe,"Le médecin examinait la douleur crurale de son patient, qui se plaignait de douleurs au niveau de la cuisse."
Rodinia,noun,propre,"supercontinent formé il y a environ 1.100 millions d'années, ancêtre de la Pangée, lui-même ancêtre des continents actuels.",C'est en étudiant les roches anciennes que les scientifiques ont prouvé l'existence de Rodinia
apologétique,adj,,qui caractérise la défense ou justification d'une opinion face aux critiques ou aux objections, Il a utilisé une argumentation apologétique pour convaincre l'audience de la justesse de ses positions.
nutation,noun,feminin,mouvement oscillatoire de l'axe de rotation d'un corps en rotation autour d'un point fixe,La nutation de la Terre a des conséquences sur les saisons et les marées.
aune ,noun,feminin,Ancienne unité de longueur appliquée surtout au mesurage des étoffes,"Ce drap, vendu à l'aune sur la voie publique, révoltait ses habitudes"
gourmer,verb,,brider un cheval en lui mettant la gourmette,Il faut gourmer ce cheval plus court.
émerillon,noun,masculin,"Crochet ou boucle, rivé par une petite tige dans un anneau, de manière à pouvoir y tourner librement",Le pêcheur a utilisé un émerillon pour éviter que la ligne ne s'emmêle lorsqu'il a remonté le poisson.
acanthe,noun,feminin,"Plante ornementale dont les feuilles sont dentées et découpées, souvent utilisée en architecture et en décoration.",Les colonnes de ce bâtiment sont ornées de chapiteaux sculptés avec des feuilles d'acanthe
madrigal,noun,masculin,"poème lyrique court, généralement sur le thème de l'amour, souvent mis en musique",Les amants s'envoyaient des madrigaux enflammés dans leur correspondance amoureuse.
apocryphe,adj,,texte que l'église ne considère pas comme faisant partie du canon biblique,Les troisième et quatrième livres d’Esdras sont apocryphes.
marrane,noun,masculin,"juif qui, au moyen age, s'est converti au christianisme, mais qui a continué à pratiquer secrètement sa religion juive en privé",Les marranes se sont converti au christianisme pour échapper à la persécution
floralies,noun,feminin,"fête horticole, et en particulier exposition de fleurs.","Les floralies nationales, créées en 1906, sont organisées chaque année dans une ville différente."
bronca,noun,feminin,manifestation bruyante du public en signe de désapprobation ou mécontentement. Issu de la tauromachie,Berlusconi a déclenché une bronca médiatique internationale.
frimas,noun,masculin,brouillard froid et épais qui se cristallise en tombant et forme du givre,"L'Angleterre, enveloppée d'un suaire de neige et de frimas."
engramme,noun,masculin,"trace laissée dans le cerveau par une expérience vécue, qui conditionne notre réaction lorsque la situation se reproduit.",Un engramme de son enfance l'a perturbé et le voilà désormais qui cherche ses mots.
adret,noun,masculin,"versant d'une montagne exposé au soleil, orienté au sud ou à l'est","La ligne de crête sépare les deux versants d'ubac, sombre, et d'adret, ensoleillé."
causeuse,noun,feminin,"petit canapé bas, le plus souvent capitonné, où peuvent s'asseoir deux personnes en particulier pour converser.",La profonde causeuse de la vieille dame est encore là
yatagan,noun,masculin,sabre à lame recourbée utilisé dans l'ancienne Turquie,"À coups de yatagans et de masses d'armes, les mamelouks achevaient les malheureux."
sportule,noun,féminin,"dans l'antiquité romaine, don que les patrons faisaient à leurs clients.",ils se disaient clients d'un riche pour avoir droit à la sportule
grégaire,adj,,tendance instinctive qui pousse des individus d'une même espèce à se rassembler et à adopter un même comportement,La foule obéit à un instinct grégaire inné à l'homme
cénotaphe,noun,masculin,"tombeau vide élevé à la mémoire d'un mort, généralement illustre, qui a été enterré ailleurs ou qui n'a pas reçu de sépulture.",Les Anglais ont édifié là un grand cénotaphe de pierre
abluer,verb,,laver des manuscrits ou des livres avec un produit spécial pour en raviver l'écriture ou enlever les taches.,Le manuscrit a été ablué des encres du copiste
fadette,noun,feminin,liste détaillée des appels émis et reçus depuis un téléphone mobile.,La liste des communications passées est sur la fadette.
dissension,noun,feminin,"désaccord ou une divergence d'opinions, d'idées ou de points de vue entre deux ou plusieurs personnes",Le parti est en proie à de graves dissensions internes.
moujik,noun,masculin,paysan de rang social peu élevé dans l'Empire russe,"Des moujiks traînaient dans l’auberge, saouls et tonitruants."
néoténie,noun,feminin,phénomène biologique qui se produit lorsque les caractères juvéniles d'un organisme se conservent à l'âge adulte,"La néoténie est un phénomène courant chez les amphibiens, qui restent longtemps à l'état de larve"
séide,noun,masculin,qui manifeste un dévouement aveugle et fanatique,Le dictateur était entouré d'un groupe de séides qui étaient prêts à tout pour protéger leur chef
agacinant,adj,,qui agace de manière répétée,Son comportement agacinant finit par épuiser tout le monde autour de lui
gloriette,noun,feminin,"petite construction légère, souvent décorative, située dans un jardin ou un parc",Tous trois s'arrêtèrent sur le seuil de la gloriette
abside,noun,feminin,"extrémité du chœur d'une église, de forme semi-circulaire ou polygonale.",Le curé s'est avancé vers l'abside de la cathédrale pour commencer la célébration de la messe.
giberne,noun,feminin,"boîte portée à la ceinture ou en bandoulière, dans laquelle les soldats mettaient leurs cartouches et leurs grenades.",La giberne était pleine de cartouches
hucher,verb,,"appeler quelqu'un d'une voix forte, ou en sifflant très fort. ",Le professeur a dû hucher pour se faire entendre par-dessus le bruit des élèves
térébrant,adj,,"Qui perce des trous dans des matières dures, qui creuse des galeries. ",Les fourmis utilisent leurs mandibules térébrantes pour creuser la terre et la transporter à la surface.
callipyge,adj,,"qui a de belles fesses, harmonieusement arrondies.","Cette statue a une forme callipyge, qui met en valeur ses fesses voluptueuses et rondes."
truculent,adj,,"jovial, de forte stature, pittoresque et bon vivant",mon grand-père est un homme truculent qui aime raconter des histoires étonnantes
cucule,noun,feminin,"Vêtement ample avec capuchon, porté par les moines anciens au-dessus de la tunique.","Le jeune religieux, a relevé sa cucule sur sa tête."
ordalie,noun,feminin,épreuve judiciaire employée au Moyen Âge pour établir l'innocence ou la culpabilité de l'accusé,"Pendant l'ordalie du feu, un accusé prouvait son innocence en traversant un bûcher sans se brûler."
aérolithe,noun,feminin,fragment de roche ou de métal qui tombe du ciel et qui provient de l'espace,Ils ont analysé l'aérolithe tombé dans le désert pour en apprendre plus sur la composition des météorites.
agélaste,noun,masculin,qui ne rit pas ou n’a pas le sens de l’humour.,"Lors de son passage dans l’espace cosmique, l’âme du véritable agélaste ne saura pénétrer en paradis."
controuver,verb,,affirmer des faits entièrement erronés souvent avec une intention malfaisante.,Il a essayé de controuver une excuse plausible pour expliquer pourquoi il était en retard
gotha,noun,masculin,ensemble des personnes les plus en vue dans un certain milieu professionnel ou social.,La cérémonie réunit tout le gotha du cinéma.
picrocholine,adj,,se dit d'une personne qui est obsédée par les détails insignifiants et qui se dispute facilement sur des choses sans importance,Le client était picrocholine et a demandé des changements mineurs au design.
engeance,noun,masculin,groupe et catégorie de personnes que l'on méprise.,Il méprisait les politiciens corrompus et les considérait comme faisant partie d'une engeance nuisible.
caudé,adj,,"Qui possède une queue, en parlant d'un animal ou d'un organisme",Les reptiles caudés ont des queues musclées qui leur permettent de se déplacer rapidement
goguette,adj,,réunion festive où l'on chante des chansons en groupe,Les jeunes artistes parisiens se réunissaient régulièrement pour organiser des goguettes
nimbe,noun,masculin,cercle lumineux ou une auréole qui entoure la tête ou le corps d'une figure religieuse,"La peinture du Christ sur le mur de l'église était entourée d'un nimbe doré, symbolisant sa sainteté."
palustre,adj,,"qui est propre aux marais, ou aux zones humides",La forêt palustre est le refuge de nombreux oiseaux migrateurs pendant leur voyage.
casuel,adj,,"Qui n'est pas régulier, qui arrive de temps en temps",Certains travailleurs sont embauchés en tant que travailleurs casuels pour aider dans les restaurants
léonin,adj,,Qui est excessivement avantageux pour une partie et désavantageux pour l'autre,"Le contrat qu'il m'a proposé était léonin, j'ai dû le refuser."
hétaïre,noun,feminin,"Femme de compagnie, prostituée de luxe dans l'Antiquité grecque        ","Dans l'Athènes antique, les hétaïres étaient souvent des femmes de grande influence."
scabieuse,noun,feminin,"plante aux fleurs mauves, commune dans les régions tempérées, réputée guérir la gale.",Des scabieuses mettaient leur deuil dans le cimetière.
suppôt,noun,masculin,personne qui en secondait une autre ou remplissait des fonctions de subalterne.,Le dictateur était entouré de ses suppôts qui obéissaient à ses ordres sans poser de questions.
camard,adj,,"décrit un nez peu marqué, court et aplati",Son nez camard lui donnait un air sympathique et jovial.
trilemme,noun,masculin,choix difficile entre trois options.,"Dans cette situation, nous sommes confrontés à un trilemme : agir, ne rien faire ou demander de l'aide."
luciférine,noun,feminin,Substance présente chez certains organismes et qui permet la production de lumière	,Les lucioles produisent de la lumière grâce à la luciférine.
dauber,verb,,Critiquer quelqu'un de manière injuste ou malveillante,Je ne supporte pas les gens qui passent leur temps à dauber les autres.
infundibuliforme,adj,,qui a la forme d'un entonnoir,Suis-je fou de porter fièrement mon chapeau infundibuliforme ?
ultracrépidarianisme,noun,masculin,fait de donner son avis sur un sujet sur lequel on n’a pas de compétence.,Son ultracrépidarianisme l'a rendu impopulaire auprès de ses collègues.
ergophobie,noun,feminin,peur irrationnelle intense du travail au point d'empêcher ceux qui en souffrent de travailler,"Son ergophobie l'a poussé à démissionner de son poste, même s'il aimait son travail."
obérer,verb,,"accabler d'une lourde charge financière, endetter jusqu'à la ruine.",La crise économique a obéré les finances de l'entreprise.
Abomasum,noun,masculin,"Quatrième partie de l'estomac des ruminants, qui sécrète le suc gastrique.",Le vétérinaire a diagnostiqué une infection de l'abomasum chez la vache
Abhorrer,Verbe,,Éprouver une aversion violente pour quelque chose ou quelqu'un.,Je ne peux pas m'empêcher d'abhorrer les insectes rampants qui me font peur.
Accointance,noun,feminin,relation amicale intime entre deux personnes ou groupes de personnes,J'ai une accointance avec cet artiste depuis de nombreuses années.
Adipeux,adj,,"Qui est relatif aux graisses, qui contient de la graisse.",Les personnes ayant un indice de masse corporelle élevé ont généralement plus de tissus adipeux
Algarade,noun,feminin,"querelle bruyante et violente, qui éclate généralement soudainement et de manière inattendue",L'algarade entre les deux hommes a rapidement attiré l'attention de tous les passants.
Anacoluthe,noun,feminin,Figure de style qui consiste en une rupture de construction syntaxique.,L'utilisation d'une anacoluthe peut parfois être déroutante pour les lecteurs.
Aphorisme,noun,masculin,"Formule concise qui exprime une vérité, un principe moral.","""La simplicité est la sophistication suprême"" est un aphorisme célèbre de Léonard de Vinci."
Aruspice,noun,masculin,Personne qui pratiquait la divination chez les Romains en examinant les entrailles des animaux sacrifiés.,Les aruspices étaient souvent consultés par les empereurs romains pour prédire l'avenir.
Atermoiement,noun,masculin,"fait de retarder ou de remettre à plus tard une décision, une action ou une réponse attendue","Ses atermoiements ont fini par agacer tout le monde, il doit prendre une décision maintenant."
Atrabilaire,adj,,qualifie une personne irritable et sujette aux colères et aux idées noires.,"Mon patron est très atrabilaire le lundi matin, il vaut mieux ne pas lui parler avant qu'il n'ait pris son café."
Bélître,noun,masculin,"Personne méprisable, sans valeur morale.",Ce bélître ne pense qu'à lui-même et ne se soucie pas des autres.
Boustrophédon,noun,masculin,technique d'écriture ancienne dans laquelle les lignes de texte sont écrites alternativement de gauche à droite et de droite à gauche,"Les écrits les plus anciens étaient souvent boustrophédon, et il était difficile de les lire."
Caligineux,adj,,"Qui est obscur, ténébreux, où il est difficile de voir.",La forêt était tellement caligineuse que nous avons dû allumer des torches pour y voir quelque chose.
Cataplexie,noun,feminin,"Perte brève et soudaine de tonus musculaire, provoquée par une forte émotion.","après avoir ri aux éclats, il a subi une crise de cataplexie et s'est effondré sur le sol"
Cénotaphe,noun,masculin,"Tombeau vide, érigé en mémoire d'une personne dont les restes se trouvent ailleurs.","Le cénotaphe de Napoléon se trouve aux Invalides, à Paris"
Chirographaire,adj,,"Qui est écrit à la main, qui n'est pas imprimé.",Les textes chirographaires étaient courants avant l'invention de l'imprimerie.
Circonlocution,noun,feminin,"Manière indirecte et détournée de s'exprimer, en évitant de dire les choses clairement.","Son discours était rempli de circonlocutions, et nous avons eu du mal à comprendre ce qu'il voulait dire."
Comminatoire,adj,,"Qui contient des menaces, des avertissements.",Ses messages comminatoires nous ont poussé à prendre des mesures de sécurité supplémentaires.
Concupiscible,adj,,"Qui est susceptible de susciter le désir, la convoitise.",Les publicités pour les voitures de luxe utilisent souvent des images concupiscibles pour attirer les clients.
Concomitant,adj,,"Qui est lié à un autre événement ou phénomène, qui survient en même temps.",Sa maladie était concomitante à une baisse de régime
Conflagration,noun,feminin,"Grand incendie, ou guerre généralisée.","La conflagration a détruit une grande partie de la ville, et a laissé des milliers de personnes sans abri."
Contemptible,adj,,"Qui est méprisable, vil, bas.","Son comportement était absolument contemptible, et il a été rapidement renvoyé de son poste."
Coruscant,adj,,"Qui brille intensément, qui étincelle.","Les feux d'artifice étaient coruscants et colorés, illuminant le ciel nocturne de la ville."
Croupion,noun,masculin,"Partie postérieure de certains animaux, située entre la queue et le dos.",Le chasseur a pris pour cible le croupion du sanglier
Cryptique,adj,,"Qui est difficile à comprendre, qui est obscur, énigmatique.",Les messages du poète étaient souvent cryptiques
Déférence,noun,feminin,Attitude de respect et de soumission envers une personne considérée comme supérieure,Le diplomate a montré une grande déférence envers le président
Déférent,adj,,"Qui est respectueux, soumis envers une personne considérée comme supérieure.",Son attitude déférente envers ses parents témoignait du grand respect qu'il leur portait.
Dégingandé,adj,,"Qui est grand, maigre et maladroit, aux membres démesurés.",Le jeune homme dégingandé se prenait souvent les pieds dans les objets qui l'entouraient.
Démiurge,noun,masculin,"Dans la philosophie platonicienne, être divin créateur et organisateur du monde.",Le démiurge avait créé l'univers selon des lois qui échappaient à la compréhension humaine.
Dithyrambique,adj,,"Qui est excessif dans les éloges, qui est enthousiaste à l'excès.",Le critique littéraire a fait une critique dithyrambique de la nouvelle œuvre de l'écrivain
Égrillard,adj,,"qui a des propos ou des comportements osés, voire grivois, à connotation sexuelle","Les blagues égrillardes du comique ont fait rire l'auditoire, mais ont choqué certains spectateurs."
Égrotant,adj,,"Qui est malade, qui se plaint sans cesse de ses maux.",Le patient égrotant ne cesse de se plaindre de ses douleurs
Élégie,noun,feminin,"Poème lyrique qui exprime la douleur, la tristesse, et le chagrin",Le poète a écrit une élégie en l'honneur de son ami disparu
Éleutheria,noun,feminin,état de liberté personnelle ou politique,"Les insurgés luttaient pour leur éleutheria, face à un pouvoir autoritaire et oppressif."
Encan,noun,masculin,"vente aux enchères publique, au cours de laquelle des biens sont proposés à la vente et vendus au plus offrant",La maison de ventes a organisé un encan prestigieux
Encyclique,noun,feminin,une lettre du pape adressée à l'ensemble des évêques de l'Église catholique et portant sur un sujet de foi ou de morale,L'encyclique du pape François a appelé les catholiques du monde entier à agir pour protéger la planète
Ennéade,noun,feminin,Groupe de neuf personnes ou de neuf choses.,Les planètes de notre système solaire forment une ennéade
Épigone,noun,masculin,"personne qui suit les idées, les pratiques ou le style d'une personne ou d'un groupe précédent",Le jeune écrivain est souvent qualifié d'épigone de son auteur préféré
Épitaphe,noun,feminin,"Inscription gravée sur une tombe ou un monument funéraire, qui rend hommage à la personne décédée",L'épitaphe du poète évoque son désir de communiquer son amour de la vie à travers ses vers.
Épithalame,noun,,"Poème ou chanson composé en l'honneur d'un mariage, qui célèbre l'amour et la joie de l'union.",L'épithalame chanté par les invités a donné une touche romantique à la cérémonie de mariage.
Esclaffement,noun,,"Éclat de rire bruyant et incontrôlé, souvent provoqué par une situation comique ou une blague.",L'esclaffement des enfants a résonné dans tout le parc pendant que le clown faisait des tours de magie.
Éthéré,adj,,"Qui évoque le monde des esprits ou des êtres célestes, en raison de sa légèreté ou de sa beauté immatérielle.","La ballade était accompagnée d'une musique éthérée, qui semblait venir d'un autre monde."
Étiage,noun,masculin,"Niveau le plus bas atteint par le débit d'un cours d'eau, généralement pendant la saison sèche.",La sécheresse prolongée a entraîné une baisse significative de l'étiage des rivières
Étiologie,noun,feminin,"Étude des causes et des origines des maladies, des troubles ou des phénomènes biologiques, physiques ou sociaux.",Les scientifiques ont consacré de nombreuses années à l'étude de l'étiologie du cancer
Euphonie,noun,feminin,"Harmonie agréable des sons dans la langue ou dans la musique, qui produit un effet plaisant à l'oreille.",La poésie de ce vers repose  l'euphonie qui se dégage de leur combinaison
Faste,noun,masculin,"La splendeur, la magnificence d'une cérémonie ou d'une fête",Le faste de la cérémonie d'ouverture des Jeux Olympiques a laissé les spectateurs ébahis
Fétide,adj,,"Qui dégage une odeur nauséabonde, souvent du à des substances en décomposition ou à des endroits malodorants.",L'odeur fétide de la poubelle n'avait pas été nettoyée depuis des semaines
Flafla,noun,,"Ostentation excessive, souvent en référence à des vêtements ou des accessoires de mode voyants et extravagants.",Sa robe de soirée était couverte de flaflas qui attiraient l'attention de tous.
Gabegie,noun,feminin,"Gaspillage de ressources, souvent en référence à des situations où les fonds ou les biens sont mal utilisés ou mal gérés.",Le scandale de gabegie dans l'entreprise a mis en lumière les pratiques douteuses de certains dirigeants
Galimatias,noun,,Discours confus ou incohérent qui manque de clarté ou de logique,"Ses explications étaient un galimatias incompréhensible, ne faisant qu'ajouter à la confusion générale."
Ecthyma,noun,,Infection cutanée bactérienne profonde et douloureuse qui peut laisser des cicatrices,"La petite fille avait de l'ecthyma sur la jambe, ce qui la faisait beaucoup souffrir."
Érubescent,adj,,"Qui devient rouge ou rougissant, souvent en référence à la couleur de la peau ou des joues lorsqu'on est gêné ou embarrassé.",Elle se sentit érubescente lorsque le garçon qu'elle aimait lui sourit timidement.
Escogriffe,noun,,"Personne très grande et maigre, souvent en référence à une personne qui manque de masse musculaire",cet escogriffe était en fait un joueur de basket-ball talentueux.
