word,nature,genre,definition,example
octavon,noun,mas,"qui a un huitième de sang noir, c'est-à-dire issu de l'union d'un blanc et d'une quarteronne ou d'une blanche et d'un quarteron","Entre un octavon et un créole, jamais un Européen n'a pu faire de différence. "
madrigal,noun,mas,"pièce de poésie consistant en une pensée exprimée avec finesse prenant souvent, à l'égard d'une femme, la tournure d'un compliment galant.",Quand roucoulerez-vous de ces madrigaux ouvrés ?
apocryphe,adj,,dont l'église ne reconnaît pas l'origine divine,"Il vous a plu de supprimer une multitude d'évangiles, que vous appelez apocryphes"
marrane,noun,mas,"juif ou descendant de juif d'Espagne ou du Portugal, converti au christianisme, mais resté secrètement fidèle aux croyances et aux pratiques juives ancestrales","riche marrane, ell prêta de l'argent aux rois mais aussi aux juifs persécutés"
floralies,noun,fem,"fête horticole, et en particulier exposition de fleurs.","Les floralies nationales, créées en 1906, sont organisées chaque année dans une ville différente."
bronca,noun,fem,manifestation bruyante du public en signe de désapprobation ou mécontentement. Issu de la tauromachie,Berlusconi a déclenché une bronca médiatique internationale.
frimas,noun,mas,brouillard froid et épais qui se cristallise en tombant et forme du givre,"L'Angleterre, enveloppée d'un suaire de neige et de frimas."
engramme,noun,mas,"trace laissée dans le cerveau par une expérience vécue, qui conditionne notre réaction lorsque la situation se reproduit.", Un engramme de son enfance a soudain raison de son aplomb et le voilà qui cherche ses mots.
acérer,verb,,rendre la douleur plus vive.,Partout ailleurs le talent comme le sort se sert de la gaieté pour acérer la douleur.
adret,noun,mas,"versant d'une montagne exposé au soleil, orienté au sud ou à l'est (contraire de ubac).","La ligne de crête sépare les deux versants d'ubac et d'adret, l'un déjà sombre, l'autre toujours ensoleillé."
causeuse,noun,fem,"petit canapé bas, le plus souvent capitonné, à dossier cintré, où peuvent s'asseoir deux personnes en particulier pour converser.",La profonde causeuse de la vieille dame est encore là
yatagan,noun,mas,sabre à lame recourbée utilisé dans l'ancienne Turquie,"À coups de yatagans et de masses d'armes, les mamelouks achevaient les malheureux."
sportule,,,"dans l'antiquité romaine, don que les patrons faisaient à leurs clients.",ils se disaient clients d'un riche pour avoir droit à la sportule
grégaire,adj,,tendance instinctive qui pousse des individus d'une même espèce à se rassembler et à adopter un même comportement,La foule obéit à un instinct grégaire inné à l'homme comme aux autres espèces animales
cénotaphe,noun,mas,"tombeau vide élevé à la mémoire d'un mort, généralement illustre, qui a été enterré ailleurs ou qui n'a pas reçu de sépulture.",Les Anglais ont édifié là un grand cénotaphe de pierre
abluer,verb,,laver des manuscrits ou des livres avec un produit spécial pour en raviver l'écriture ou enlever les taches.,Le manuscrit ablué des encres du copiste
fadette,noun,fem,liste détaillée des appels émis et reçus depuis un téléphone mobile.,La liste des communications passées est sur la fadette.
dissension,noun,fem,"opposition violente d'avis, de sentiments, d'intérêts",Le parti est en proie à de graves dissensions internes.
moujik,noun,mas,paysan russe.,"Des moujiks traînaient dans l’auberge, saouls et tonitruants."
néoténie,noun,fem,fait de conserver des caractéristiques juvéniles à l'âge l'adulte.,Les analogies entre le crâne du jeune chimpanzé et celui de l'homme adulte attestent de la néoténie humaine.
séide,noun,mas,qui manifeste un dévouement aveugle et fanatique,Hitler et ses séides.
agacinant,adj,,qui agace de manière répétée,"Séduisante, agacinante, elle avait des manières mignardes, précieuses, niaisottes; elle jouait la fillette..."
gloriette,noun,fem,petite maison indépendante,Tous trois s'arrêtèrent sur le seuil de la gloriette
abside,noun,fem,"extrémité du chœur d'une église, de forme semi-circulaire ou polygonale.",La nef comporte trois travées et se termine par une abside semi-circulaire voûtée en cul-de-four.
giberne,noun,fem,"boîte portée à la ceinture ou en bandoulière, dans laquelle les soldats mettaient leurs cartouches et leurs grenades.",Une giberne pleine de cartouches
hucher,verb,,"appeler quelqu'un d'une voix forte, ou en sifflant très fort. ","J'entendis la voix claire de Denise qui me huchait de toute sa force, tout en riant, d'un bord de la clairière à l'autre."
térébrant,adj,,"Qui perce des trous dans des matières dures, qui creuse des galeries. ",Insecte térébrant.
callipyge,adj,,"qui a de belles fesses, harmonieusement arrondies.","Les danseurs sont sûrs d'eux-mêmes, vigoureux, callipyges."
truculent,adj,,"jovial, de forte stature, pittoresque et bon vivant","Je crois que c'est l'élément grosse bouffonnerie, l'élément Rabelais, le côté truculent et tant soit peu commis-voyageur"
cucule,noun,fem,capuchon de moine.,"Le jeune religieux, ayant relevé sa cucule sur sa tête."
ordalie,noun,fem,épreuve judiciaire employée au Moyen Âge pour établir l'innocence ou la culpabilité de l'accusé,"L'ordalie du feu, par laquelle un accusé prouvait son innocence en traversant un bûcher sans se brûler."
aérolithe,noun,fem,"météorite, objet qui tombe du ciel.","En quel lieu, dans quel site, viens-je de choir, comme un aérolithe ?"
agélaste,noun,mas,qui ne rit pas ou n’a pas le sens de l’humour.,"Lors de son passage dans l’espace cosmique, l’âme du véritable agélaste ne saura pénétrer en paradis."
controuver,verb,,affirmer des faits entièrement erronés souvent avec une intention malfaisante.,On l'accuse d'avoir controuvé des faits.
gotha,noun,mas,ensemble des personnes les plus en vue dans un certain milieu professionnel ou social.,La cérémonie réunit tout le gotha du cinéma.
guerre picrocholine,noun,fem,conflit absurde et ridicule.,Une escarmouche supplémentaire dans la guerre picrocholine qui oppose les buralistes aux autorités sanitaires.
engeance,noun,mas,groupe et catégorie de personnes que l'on méprise.,L'engeance des marchandeurs pour qui les commerçant haussent les prix avant d'accorder un rabais.
caudé,adj,,pourvu d'une queue.,"Un mystérieux bipède non caudé, aussi proche de l'homme que du singe."
goguette,adj,,"être de bonne humeur, sous l'effet du vin et de la bonne chère.","Avec son chapeau haute forme, il a l'air d'un petit notaire de province en goguette."
nimbe,noun,mas,cercle lumineux placé autour de la tête des dieux et des empereurs romains ou de celle du Christ et des saints.,Un nimbe d'or sur la tête du saint.
palustre,adj,,"qui est propre aux marais, qui en est caractéristique",Des joncs ou autres plantes palustres
casuel,adj,,qui est subordonné au hasard,"La plénitude est une sensation rare, casuelle, aussi insaisissable que la mélancolie."
léonin,adj,," qui rappelle physiquement ou moralement le lion, digne d'un lion.","Il tenait de cette race léonine, pugnace et généreuse"
pastafarisme,noun,,parodie de religion dont la divinité est le Monstre en spaghetti volant.,"Nouilles, volcans de bières et pirates, telles sont les choses vénérées par les adeptes du pastafarisme"
hétaïre,noun,fem,courtisane grecque d'un rang assez élevé.,"Aux époques très cultivées et très raffinées, au siècle des hétaïres en Grèce."
scabieuse,noun,fem,"plante aux fleurs mauves, commune dans les régions tempérées, réputée guérir la gale.",Des scabieuses mettaient leur deuil dans le cimetière.
suppôt,noun,mas,personne qui en secondait une autre ou remplissait des fonctions de subalterne.,Les suppôts de Satan.
camard,adj,,qui a le nez aplati,"Sa face, camarde comme celle d'un dogue."
trilemme,noun,mas,choix difficile entre trois options.,"Les dirigeants sont confrontés au trilemme énergétique : comment garantir une énergie fiable, durable et abordable ?"
luciférine,noun,fem,substance qui produit la luminescence chez certains insectes et poissons. ,"La femelle lampyre, pour attirer le mâle, agite dans la nuit le dessous de son ventre dont les annelets terminaux sont porteurs de luciférine."
dauber,verb,,"attaquer verbalement en raillant, en dénigrant.","J'ai daubé d'importance les Américains, peuple de marchands sans génie."
infundibuliforme,adj,,qui a la forme d'un entonnoir,Suis je fou de porter fièrement mon chapeau infundibuliforme ?
ultracrépidarianisme,noun,mas,fait de donner son avis sur un sujet sur lequel on n’a pas de compétence.,Il a fini par payer le prix de son ultracrépidarianisme.
ergophobie,noun,fem,peur irrationnelle intense du travail au point d'empêcher ceux qui en souffrent de travailler,Mon ergophobie m'empêche de trouver un poste.
obérer,verb,,"accabler d'une lourde charge financière, endetter jusqu'à la ruine.",Les dettes qui obérent les petits entrepreneurs.
